id,name,price,brand,categoryPath
1,Mate 60 Pro,6999.0,华为,电子产品/手机/华为/旗舰机/Mate 60 Pro/雅川青
2,Mate 60 Pro,6999.0,华为,电子产品/手机/华为/旗舰机/Mate 60 Pro/白沙银
3,Mate 60 Pro,6999.0,华为,电子产品/手机/华为/旗舰机/Mate 60 Pro/南糯紫
4,手环8,299.0,小米,电子产品/智能穿戴/小米/手环/手环8/黑色
5,手环8,299.0,小米,电子产品/智能穿戴/小米/手环/手环8/白色
6,手环8,299.0,小米,电子产品/智能穿戴/小米/手环/手环8/浅粉色
7,PS5,4299.0,索尼,电子产品/游戏机/索尼/主机/PS5/白色
8,PS5,4299.0,索尼,电子产品/游戏机/索尼/主机/PS5/黑色
9,游匣G16,8499.0,戴尔,电子产品/电脑/戴尔/游戏本/游匣G16/暗星云
10,游匣G16,8499.0,戴尔,电子产品/电脑/戴尔/游戏本/游匣G16/幻影黑
11,R10相机,5799.0,佳能,电子产品/相机/佳能/单反/R10/黑色
12,R10相机,5799.0,佳能,电子产品/相机/佳能/单反/R10/银色
13,DDR5 32G,599.0,金士顿,电子产品/电脑配件/金士顿/内存/DDR5 32G/银色
14,DDR5 32G,599.0,金士顿,电子产品/电脑配件/金士顿/内存/DDR5 32G/黑色
15,运动卫衣,399.0,耐克,服装/运动装/耐克/上衣/运动卫衣/黑色
16,运动卫衣,399.0,耐克,服装/运动装/耐克/上衣/运动卫衣/红色
17,运动卫衣,399.0,耐克,服装/运动装/耐克/上衣/运动卫衣/蓝色
18,牛仔裤,299.0,优衣库,服装/男装/优衣库/裤子/牛仔裤/深蓝色
19,牛仔裤,299.0,优衣库,服装/男装/优衣库/裤子/牛仔裤/浅蓝色
20,牛仔裤,299.0,优衣库,服装/男装/优衣库/裤子/牛仔裤/黑色
21,羽绒服,1599.0,波司登,服装/女装/波司登/外套/羽绒服/白色
22,羽绒服,1599.0,波司登,服装/女装/波司登/外套/羽绒服/红色
23,羽绒服,1599.0,波司登,服装/女装/波司登/外套/羽绒服/黑色
24,跑步鞋,499.0,李宁,服装/鞋类/李宁/运动鞋/跑步鞋/中国红
25,跑步鞋,499.0,李宁,服装/鞋类/李宁/运动鞋/跑步鞋/黑色
26,跑步鞋,499.0,李宁,服装/鞋类/李宁/运动鞋/跑步鞋/白色
27,婴儿服,99.0,全棉时代,服装/母婴服饰/全棉时代/婴儿装/婴儿服/浅粉色
28,婴儿服,99.0,全棉时代,服装/母婴服饰/全棉时代/婴儿装/婴儿服/浅蓝色
29,婴儿服,99.0,全棉时代,服装/母婴服饰/全棉时代/婴儿装/婴儿服/黄色
30,布艺沙发,5999.0,顾家家居,家居/家具/顾家家居/沙发/布艺沙发/米白色
31,布艺沙发,5999.0,顾家家居,家居/家具/顾家家居/沙发/布艺沙发/灰色
32,1.5P空调,3499.0,美的,家居/电器/美的/空调/1.5P空调/白色
33,1.5P空调,3499.0,美的,家居/电器/美的/空调/1.5P空调/金色
34,电饭煲,399.0,苏泊尔,家居/厨房电器/苏泊尔/电饭煲/电饭煲/银色
35,电饭煲,399.0,苏泊尔,家居/厨房电器/苏泊尔/电饭煲/电饭煲/黑色
36,四件套,499.0,无印良品,家居/家纺/无印良品/床上用品/四件套/浅灰色
37,四件套,499.0,无印良品,家居/家纺/无印良品/床上用品/四件套/白色
38,办公桌椅,899.0,得力,家居/办公用品/得力/桌椅/办公桌椅/黑色
39,办公桌椅,899.0,得力,家居/办公用品/得力/桌椅/办公桌椅/棕色
40,巧克力礼盒,169.0,德芙,食品/零食/德芙/巧克力/巧克力礼盒/常规款
41,巧克力礼盒,169.0,德芙,食品/零食/德芙/巧克力/巧克力礼盒/节日款
42,坚果礼盒,199.0,良品铺子,食品/零食/良品铺子/坚果/坚果礼盒/混合装
43,坚果礼盒,199.0,良品铺子,食品/零食/良品铺子/坚果/坚果礼盒/纯坚果装
44,乳茶,5.9,元气森林,食品/饮料/元气森林/乳饮料/乳茶/原味
45,乳茶,5.9,元气森林,食品/饮料/元气森林/乳饮料/乳茶/草莓味
46,辣白菜拉面,6.9,农心,食品/速食/农心/方便面/辣白菜拉面/经典款
47,辣白菜拉面,6.9,农心,食品/速食/农心/方便面/辣白菜拉面/辣味加强款
48,自热火锅,39.9,海底捞,食品/速食/海底捞/自热食品/自热火锅/牛油味
49,自热火锅,39.9,海底捞,食品/速食/海底捞/自热食品/自热火锅/番茄味
50,洁面乳,590.0,La Mer,美妆/护肤/La Mer/洁面/洁面乳/常规装
51,洁面乳,590.0,La Mer,美妆/护肤/La Mer/洁面/洁面乳/旅行装
52,DW粉底液,420.0,雅诗兰黛,美妆/彩妆/雅诗兰黛/底妆/DW粉底液/1W1
53,DW粉底液,420.0,雅诗兰黛,美妆/彩妆/雅诗兰黛/底妆/DW粉底液/2C0
54,眼线笔,290.0,兰蔻,美妆/彩妆/兰蔻/眼妆/眼线笔/黑色
55,眼线笔,290.0,兰蔻,美妆/彩妆/兰蔻/眼妆/眼线笔/棕色
56,前男友面膜,1060.0,SK-II,美妆/护肤/SK-II/面膜/前男友面膜/常规装
57,前男友面膜,1060.0,SK-II,美妆/护肤/SK-II/面膜/前男友面膜/限量装
58,蓝胖子防晒,380.0,资生堂,美妆/护肤/资生堂/防晒/蓝胖子防晒/50ml
59,蓝胖子防晒,380.0,资生堂,美妆/护肤/资生堂/防晒/蓝胖子防晒/100ml
60,长安的荔枝,58.0,马伯庸,图书/文学/马伯庸/小说/长安的荔枝/精装版
